0	5	5	0	0	0
1	8	3	0	0	0
2	10	2	-0.3	0.15	0.1
3	14	4	-0.3	0.15	0.1
1	17	3	0	0	0
2	19	2	0.3	0.15	0.1
3	23	4	0.3	0.15	0.1
1	26	3	0	0	0
2	28	2	0.3	-0.15	0.1
3	32	4	0.3	-0.15	0.1
1	35	3	0	0	0
2	37	2	0.3	0.15	-0.1
3	41	4	0.3	0.15	-0.1
0	44	3	0	0	0
1	47	3	0	0	0
2	49	2	-0.3	-0.15	-0.1
3	53	4	-0.3	-0.15	-0.1
1	56	3	0	0	0
2	58	2	-0.3	-0.15	-0.1
3	62	4	-0.3	-0.15	-0.1
1	65	3	0	0	0
2	67	2	-0.3	0.15	0.1
3	71	4	-0.3	0.15	0.1
1	74	3	0	0	0
2	76	2	-0.3	-0.15	0.1
3	80	4	-0.3	-0.15	0.1
1	83	3	0	0	0
2	85	2	0.3	-0.15	0.1
3	89	4	0.3	-0.15	0.1
1	92	3	0	0	0
2	94	2	-0.3	0.15	0.1
3	98	4	-0.3	0.15	0.1
0	101	3	0	0	0
1	104	3	0	0	0
2	106	2	-0.3	-0.15	-0.1
3	110	4	-0.3	-0.15	-0.1
1	113	3	0	0	0
2	115	2	0.3	0.15	0.1
3	119	4	0.3	0.15	0.1
1	122	3	0	0	0
2	124	2	0.3	0.15	0.1
3	128	4	0.3	0.15	0.1
1	131	3	0	0	0
2	133	2	-0.3	0.15	-0.1
3	137	4	-0.3	0.15	-0.1
0	140	3	0	0	0
1	143	3	0	0	0
2	145	2	-0.3	-0.15	-0.1
3	149	4	-0.3	-0.15	-0.1
0	152	3	0	0	0
1	155	3	0	0	0
2	157	2	0.3	-0.15	-0.1
3	161	4	0.3	-0.15	-0.1
0	164	3	0	0	0
0	167	3	0	0	0
1	170	3	0	0	0
2	172	2	-0.3	0.15	-0.1
3	176	4	-0.3	0.15	-0.1
1	179	3	0	0	0
2	181	2	-0.3	-0.15	0.1
3	185	4	-0.3	-0.15	0.1
1	188	3	0	0	0
2	190	2	-0.3	0.15	0.1
3	194	4	-0.3	0.15	0.1
1	197	3	0	0	0
2	199	2	-0.3	0.15	-0.1
3	203	4	-0.3	0.15	-0.1
1	206	3	0	0	0
2	208	2	-0.3	-0.15	0.1
3	212	4	-0.3	-0.15	0.1
1	215	3	0	0	0
2	217	2	0.3	0.15	0.1
3	221	4	0.3	0.15	0.1
1	224	3	0	0	0
2	226	2	0.3	-0.15	-0.1
3	230	4	0.3	-0.15	-0.1
1	233	3	0	0	0
2	235	2	0.3	-0.15	-0.1
3	239	4	0.3	-0.15	-0.1
1	242	3	0	0	0
2	244	2	-0.3	0.15	-0.1
3	248	4	-0.3	0.15	-0.1
1	251	3	0	0	0
2	253	2	0.3	0.15	-0.1
3	257	4	0.3	0.15	-0.1
1	260	3	0	0	0
2	262	2	0.3	0.15	0.1
3	266	4	0.3	0.15	0.1
1	269	3	0	0	0
2	271	2	0.3	0.15	-0.1
3	275	4	0.3	0.15	-0.1
1	278	3	0	0	0
2	280	2	-0.3	-0.15	0.1
3	284	4	-0.3	-0.15	0.1
1	287	3	0	0	0
2	289	2	0.3	0.15	0.1
3	293	4	0.3	0.15	0.1
1	296	3	0	0	0
2	298	2	-0.3	-0.15	0.1
3	302	4	-0.3	-0.15	0.1
1	305	3	0	0	0
2	307	2	-0.3	-0.15	-0.1
3	311	4	-0.3	-0.15	-0.1
1	314	3	0	0	0
2	316	2	-0.3	0.15	-0.1
3	320	4	-0.3	0.15	-0.1
1	323	3	0	0	0
2	325	2	-0.3	-0.15	0.1
3	329	4	-0.3	-0.15	0.1
1	332	3	0	0	0
2	334	2	-0.3	-0.15	-0.1
3	338	4	-0.3	-0.15	-0.1
1	341	3	0	0	0
2	343	2	-0.3	-0.15	0.1
3	347	4	-0.3	-0.15	0.1
0	350	3	0	0	0
1	353	3	0	0	0
2	355	2	-0.3	0.15	0.1
3	359	4	-0.3	0.15	0.1
1	362	3	0	0	0
2	364	2	0.3	-0.15	-0.1
3	368	4	0.3	-0.15	-0.1
1	371	3	0	0	0
2	373	2	0.3	-0.15	-0.1
3	377	4	0.3	-0.15	-0.1
1	380	3	0	0	0
2	382	2	-0.3	0.15	0.1
3	386	4	-0.3	0.15	0.1
1	389	3	0	0	0
2	391	2	0.3	-0.15	-0.1
3	395	4	0.3	-0.15	-0.1
1	398	3	0	0	0
2	4	2	0.3	-0.15	-0.1
3	404	4	0.3	-0.15	-0.1
1	407	3	0	0	0
2	409	2	-0.3	0.15	-0.1
3	413	4	-0.3	0.15	-0.1
1	416	3	0	0	0
2	418	2	0.3	0.15	-0.1
3	422	4	0.3	0.15	-0.1
1	425	3	0	0	0
2	427	2	0.3	-0.15	-0.1
3	431	4	0.3	-0.15	-0.1
1	434	3	0	0	0
2	436	2	0.3	-0.15	0.1
3	440	4	0.3	-0.15	0.1
1	443	3	0	0	0
2	445	2	-0.3	-0.15	-0.1
3	449	4	-0.3	-0.15	-0.1
1	452	3	0	0	0
2	454	2	-0.3	-0.15	0.1
3	458	4	-0.3	-0.15	0.1
1	461	3	0	0	0
2	463	2	-0.3	0.15	0.1
3	467	4	-0.3	0.15	0.1
1	470	3	0	0	0
2	472	2	-0.3	0.15	-0.1
3	476	4	-0.3	0.15	-0.1
1	479	3	0	0	0
2	481	2	0.3	0.15	0.1
3	485	4	0.3	0.15	0.1
1	488	3	0	0	0
2	490	2	-0.3	-0.15	-0.1
3	494	4	-0.3	-0.15	-0.1
1	497	3	0	0	0
2	499	2	0.3	0.15	-0.1
3	503	4	0.3	0.15	-0.1
1	506	3	0	0	0
2	508	2	0.3	-0.15	-0.1
3	512	4	0.3	-0.15	-0.1
1	515	3	0	0	0
2	517	2	0.3	0.15	-0.1
3	521	4	0.3	0.15	-0.1
0	524	3	0	0	0
1	527	3	0	0	0
2	529	2	0.3	0.15	-0.1
3	533	4	0.3	0.15	-0.1
1	536	3	0	0	0
2	538	2	0.3	-0.15	0.1
3	542	4	0.3	-0.15	0.1
1	545	3	0	0	0
2	547	2	0.3	-0.15	0.1
3	551	4	0.3	-0.15	0.1
1	554	3	0	0	0
2	556	2	0.3	-0.15	0.1
3	560	4	0.3	-0.15	0.1
1	563	3	0	0	0
2	565	2	0.3	-0.15	0.1
3	569	4	0.3	-0.15	0.1
1	572	3	0	0	0
2	574	2	-0.3	-0.15	-0.1
3	578	4	-0.3	-0.15	-0.1
1	581	3	0	0	0
2	583	2	0.3	-0.15	0.1
3	587	4	0.3	-0.15	0.1
1	590	3	0	0	0
2	592	2	0.3	-0.15	0.1
3	596	4	0.3	-0.15	0.1
1	599	3	0	0	0
2	601	2	-0.3	0.15	-0.1
3	605	4	-0.3	0.15	-0.1
1	608	3	0	0	0
2	610	2	0.3	0.15	0.1
3	614	4	0.3	0.15	0.1
1	617	3	0	0	0
2	619	2	0.3	0.15	0.1
3	623	4	0.3	0.15	0.1
1	626	3	0	0	0
2	628	2	0.3	0.15	-0.1
3	632	4	0.3	0.15	-0.1
1	635	3	0	0	0
2	637	2	-0.3	0.15	-0.1
3	641	4	-0.3	0.15	-0.1
1	644	3	0	0	0
2	646	2	-0.3	0.15	0.1
3	650	4	-0.3	0.15	0.1
1	653	3	0	0	0
2	655	2	-0.3	0.15	0.1
3	659	4	-0.3	0.15	0.1
1	662	3	0	0	0
2	664	2	-0.3	0.15	-0.1
3	668	4	-0.3	0.15	-0.1
1	671	3	0	0	0
2	673	2	-0.3	-0.15	0.1
3	677	4	-0.3	-0.15	0.1
1	680	3	0	0	0
2	682	2	0.3	-0.15	-0.1
3	686	4	0.3	-0.15	-0.1
0	689	3	0	0	0
1	692	3	0	0	0
2	694	2	-0.3	0.15	0.1
3	698	4	-0.3	0.15	0.1
0	701	3	0	0	0
1	704	3	0	0	0
2	706	2	0.3	-0.15	0.1
3	710	4	0.3	-0.15	0.1
1	713	3	0	0	0
2	715	2	-0.3	-0.15	-0.1
3	719	4	-0.3	-0.15	-0.1
1	722	3	0	0	0
2	724	2	0.3	0.15	-0.1
3	728	4	0.3	0.15	-0.1
1	731	3	0	0	0
2	733	2	0.3	0.15	-0.1
3	737	4	0.3	0.15	-0.1
1	740	3	0	0	0
2	742	2	-0.3	-0.15	0.1
3	746	4	-0.3	-0.15	0.1
1	749	3	0	0	0
2	751	2	0.3	0.15	0.1
3	755	4	0.3	0.15	0.1
0	760	5	0	0	0
